sub,story,segment,segment_count,segment_num,base_segment,segment_pair,condition,cond_direction,cond_amount,target_points,e_total,e_target,res_1_simi_info_z,res_1_MD_sub_z,segment_count_demean,segment_num_demean
0524-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,1.0,0.0,0.5285080578655803,0.4030103751254653,3.5,-4
0524-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.4287113431202562,0.5778040799044419,3.5,-4
0525-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,2.0,0.0,0.2359215986341836,0.2873830631056798,3.5,-4
0525-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.4754513893247361,0.498639421734992,3.5,-4
0526-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,0.5,0.5,0.428682666374409,1.0986122886681098,3.5,-4
0526-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.6470126658293669,0.5628115764440994,3.5,-4
0526-3,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,1.0,0.0,0.0237755618985158,0.0963271825454445,3.5,-4
0526-3,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.4154243087184557,0.4011206321604332,3.5,-4
0527-2,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,1.0,0.0,0.5320821793970975,0.6202486498199733,3.5,-4
0527-2,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,2.0,0.0,0.7656815440073467,0.5621620416323214,3.5,-4
0528-2,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,0.0,0.0,0.2601767456984006,0.4380680002771278,3.5,-4
0528-2,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,2.5,2.5,0.5421544134999717,0.6551809487570226,3.5,-4
0528-3,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,1.0,0.0,0.5624044378748881,0.5580931690669123,3.5,-4
0528-3,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.6312733173528965,0.5765063723822013,3.5,-4
0612-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,1.0,0.0,0.4117533765390058,0.3268105852928283,3.5,-4
0612-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.4364790874644459,0.5401602575411562,3.5,-4
0613-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,2.0,0.0,0.5032618803113299,0.5472868309858056,3.5,-4
0613-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,0.5,0.5,0.4377836846988522,0.6062512560730676,3.5,-4
0615-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,1.5,1.5,0.5764268195987988,0.5199394802558345,3.5,-4
0615-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.5883621466438175,0.5556445970998377,3.5,-4
0616-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,2.0,0.0,0.1950574570479015,0.1829534032781464,3.5,-4
0616-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.7156555284513341,0.6069007130189924,3.5,-4
