sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type,refer_boost_type_tri,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0116-1,p0,1,1_10,9,1_09,9,10.0,1.0,1.0,target,main,referred,referred,2,2.0,0.0,1_09_10.0,3.5,-2.25
0116-1,p0,1,1_10,9,1_09,9,10.0,1.0,1.0,target,main,same_seg,neighbor,2,1.5,0.5,1_09_10.0,3.5,-2.25
0116-1,p0,1,1_10,9,1_09,9,10.5,1.5,1.5,ahead_gap,gap,neighbor,neighbor,7,6.5,0.0,1_09_10.5,3.5,-1.75
0116-1,p0,1,1_10,9,1_09,9,11.0,2.0,2.0,ahead_main,main,neighbor,neighbor,9,9.0,0.0,1_09_11.0,3.5,-1.25
0116-1,r0,2,2_02,9,2_03,3,1.0,-2.0,2.0,ahead_main,main,neighbor,neighbor,4,3.5,0.0,2_03_1.0,3.5,-1.25
0116-1,r0,2,2_02,9,2_03,3,1.5,-1.5,1.5,ahead_gap,gap,referred,referred,1,1.0,0.0,2_03_1.5,3.5,-1.75
0116-1,r0,2,2_02,9,2_03,3,1.5,-1.5,1.5,ahead_gap,gap,same_seg,neighbor,5,5.0,0.0,2_03_1.5,3.5,-1.75
0116-1,r0,2,2_02,9,2_03,3,2.0,-1.0,1.0,target,main,neighbor,neighbor,5,4.5,0.5,2_03_2.0,3.5,-2.25
0116-1,r0,2,2_02,9,2_03,3,2.5,-0.5,0.5,gap,gap,referred,referred,1,1.0,0.0,2_03_2.5,3.5,-2.75
0116-1,r0,2,2_02,9,2_03,3,2.5,-0.5,0.5,gap,gap,same_seg,neighbor,1,1.0,0.0,2_03_2.5,3.5,-2.75
0116-1,r0,2,2_04,7,2_05,5,1.0,-4.0,4.0,ahead_main,main,neighbor,neighbor,4,3.5,0.0,2_05_1.0,1.5,0.75
0116-1,r0,2,2_04,7,2_05,5,1.5,-3.5,3.5,ahead_gap,gap,referred,referred,1,1.0,0.0,2_05_1.5,1.5,0.25
0116-1,r0,2,2_04,7,2_05,5,1.5,-3.5,3.5,ahead_gap,gap,same_seg,neighbor,5,5.0,0.0,2_05_1.5,1.5,0.25
0116-1,r0,2,2_04,7,2_05,5,2.0,-3.0,3.0,ahead_main,main,neighbor,neighbor,5,4.5,0.5,2_05_2.0,1.5,-0.25
