sub,story,segment,segment_count,segment_num,base_segment,segment_pair,condition,cond_direction,cond_amount,e_cond,n_hits,segment_count_demean,segment_num_demean
0129-1,1,1_10,9,10,1_09,1_09-10,p,f,p/r,e_target,0.0,3.5,4
0129-1,1,1_10,9,10,1_09,nan,p_r,f,p_r/r_p,e_target,2.5,3.5,4
0129-1,2,2_09,2,9,2_10,2_09-10,r0,b,p0/r0,e_target,0.0,-3.5,3
0129-1,2,2_09,2,9,2_10,2_09-10,r,b,p/r,e_target,0.0,-3.5,3
0129-1,2,2_09,2,9,2_10,nan,r_p,b,p_r/r_p,e_target,2.5,-3.5,3
0129-1,2,2_07,4,7,2_08,2_07-08,r0,b,p0/r0,e_target,0.0,-1.5,1
0129-1,2,2_07,4,7,2_08,2_07-08,r,b,p/r,e_target,1.0,-1.5,1
0129-1,2,2_07,4,7,2_08,nan,r_p,b,p_r/r_p,e_target,2.0,-1.5,1
0129-1,2,2_05,6,5,2_06,2_05-06,r0,b,p0/r0,e_target,1.5,0.5,-1
0129-1,2,2_05,6,5,2_06,2_05-06,r,b,p/r,e_target,1.5,0.5,-1
0129-1,2,2_05,6,5,2_06,nan,r_p,b,p_r/r_p,e_target,2.0,0.5,-1
0129-1,2,2_03,8,3,2_04,2_03-04,r0,b,p0/r0,e_target,1.0,2.5,-3
0129-1,2,2_03,8,3,2_04,2_03-04,r,b,p/r,e_target,1.0,2.5,-3
0129-1,2,2_03,8,3,2_04,nan,r_p,b,p_r/r_p,e_target,1.0,2.5,-3
0129-1,2,2_01,10,1,2_02,2_01-02,r0,b,p0/r0,e_target,0.0,4.5,-5
0129-1,2,2_01,10,1,2_02,2_01-02,r,b,p/r,e_target,0.0,4.5,-5
0131-1,2,2_10,1,10,2_11,2_10-11,r0,b,p0/r0,e_target,1.0,-4.5,4
0131-1,2,2_10,1,10,2_11,2_10-11,r,b,p/r,e_target,1.0,-4.5,4
0131-1,2,2_10,1,10,2_11,nan,r_p,b,p_r/r_p,e_target,2.5,-4.5,4
0131-1,2,2_08,3,8,2_09,2_08-09,r0,b,p0/r0,e_target,0.0,-2.5,2
0131-1,2,2_08,3,8,2_09,nan,r_p,b,p_r/r_p,e_target,1.5,-2.5,2
0131-1,2,2_06,5,6,2_07,2_06-07,r0,b,p0/r0,e_target,0.0,-0.5,0
0131-1,2,2_06,5,6,2_07,2_06-07,r,b,p/r,e_target,0.0,-0.5,0
0131-1,2,2_06,5,6,2_07,nan,r_p,b,p_r/r_p,e_target,1.5,-0.5,0
0131-1,2,2_04,7,4,2_05,2_04-05,r0,b,p0/r0,e_target,0.0,1.5,-2
0131-1,2,2_04,7,4,2_05,2_04-05,r,b,p/r,e_target,2.0,1.5,-2
0131-1,2,2_04,7,4,2_05,nan,r_p,b,p_r/r_p,e_target,2.0,1.5,-2
0131-1,2,2_02,9,2,2_03,2_02-03,r0,b,p0/r0,e_target,1.5,3.5,-4
0131-1,2,2_02,9,2,2_03,2_02-03,r,b,p/r,e_target,1.5,3.5,-4
0131-1,2,2_02,9,2,2_03,nan,r_p,b,p_r/r_p,e_target,1.5,3.5,-4
