condition,story,sub,segment_count,segment_count_demean,main_or_gap,base_segment,step_abs,step_abs_demean,refer_seg,base_refer_seg_pair,refer_seg_e,refer_seg_points
r0,1,0224-2,6,0.5,main,1_06,5.0,1.75,1_1.0,1_06_1_1.0,0.0,4.0
r0,1,0224-2,8,2.5,main,1_04,3.0,-0.25,1_1.0,1_04_1_1.0,0.0,4.0
r0,1,0224-2,10,4.5,main,1_02,1.0,-2.25,1_1.0,1_02_1_1.0,1.0,4.0
r0,1,0225-1,1,-4.5,main,1_11,10.0,6.75,1_1.0,1_11_1_1.0,0.0,4.0
r0,1,0225-1,3,-2.5,main,1_09,8.0,4.75,1_1.0,1_09_1_1.0,0.0,4.0
r0,1,0225-1,5,-0.5,main,1_07,6.0,2.75,1_1.0,1_07_1_1.0,0.0,4.0
r0,1,0225-1,7,1.5,main,1_05,4.0,0.75,1_1.0,1_05_1_1.0,0.0,4.0
r0,1,0225-1,9,3.5,main,1_03,2.0,-1.25,1_1.0,1_03_1_1.0,0.0,4.0
r0,1,0225-2,2,-3.5,main,1_10,9.0,5.75,1_1.0,1_10_1_1.0,0.0,4.0
r0,1,0225-2,4,-1.5,main,1_08,7.0,3.75,1_1.0,1_08_1_1.0,0.0,4.0
r0,1,0225-2,6,0.5,main,1_06,5.0,1.75,1_1.0,1_06_1_1.0,0.0,4.0
r0,1,0225-2,8,2.5,main,1_04,3.0,-0.25,1_1.0,1_04_1_1.0,0.0,4.0
r0,1,0225-2,10,4.5,main,1_02,1.0,-2.25,1_1.0,1_02_1_1.0,2.0,4.0
r0,2,0226-1,2,-3.5,main,2_10,9.0,5.75,2_1.0,2_10_2_1.0,0.0,3.5
r0,2,0226-1,4,-1.5,main,2_08,7.0,3.75,2_1.0,2_08_2_1.0,0.0,3.5
r0,2,0226-1,6,0.5,main,2_06,5.0,1.75,2_1.0,2_06_2_1.0,0.0,3.5
r0,2,0226-1,8,2.5,main,2_04,3.0,-0.25,2_1.0,2_04_2_1.0,0.0,3.5
r0,2,0226-1,10,4.5,main,2_02,1.0,-2.25,2_1.0,2_02_2_1.0,0.0,3.5
r0,1,0227-1,1,-4.5,main,1_11,10.0,6.75,1_1.0,1_11_1_1.0,0.0,4.0
r0,1,0227-1,3,-2.5,main,1_09,8.0,4.75,1_1.0,1_09_1_1.0,0.0,4.0
r0,1,0227-1,5,-0.5,main,1_07,6.0,2.75,1_1.0,1_07_1_1.0,0.0,4.0
r0,1,0227-1,7,1.5,main,1_05,4.0,0.75,1_1.0,1_05_1_1.0,0.0,4.0
r0,1,0227-1,9,3.5,main,1_03,2.0,-1.25,1_1.0,1_03_1_1.0,0.0,4.0
r0,2,0227-3,2,-3.5,main,2_10,9.0,5.75,2_1.0,2_10_2_1.0,0.0,3.5
r0,2,0227-3,4,-1.5,main,2_08,7.0,3.75,2_1.0,2_08_2_1.0,0.0,3.5
r0,2,0227-3,6,0.5,main,2_06,5.0,1.75,2_1.0,2_06_2_1.0,0.0,3.5
r0,2,0227-3,8,2.5,main,2_04,3.0,-0.25,2_1.0,2_04_2_1.0,0.0,3.5
r0,2,0227-3,10,4.5,main,2_02,1.0,-2.25,2_1.0,2_02_2_1.0,0.0,3.5
p0,1,0116-1,1,-4.5,gap,1_01,0.5,-2.75,1_1.5,1_01_1_1.5,3.0,7.0
r0,2,0116-1,1,-4.5,gap,2_11,9.5,6.25,2_1.5,2_11_2_1.5,0.0,6.0
r0,2,0116-1,3,-2.5,gap,2_09,7.5,4.25,2_1.5,2_09_2_1.5,0.0,6.0
r0,2,0116-1,5,-0.5,gap,2_07,5.5,2.25,2_1.5,2_07_2_1.5,0.0,6.0
r0,2,0116-1,7,1.5,gap,2_05,3.5,0.25,2_1.5,2_05_2_1.5,0.0,6.0
r0,2,0116-1,9,3.5,gap,2_03,1.5,-1.75,2_1.5,2_03_2_1.5,0.0,6.0
r0,1,0116-2,1,-4.5,gap,1_11,9.5,6.25,1_1.5,1_11_1_1.5,0.0,7.0
r0,1,0116-2,3,-2.5,gap,1_09,7.5,4.25,1_1.5,1_09_1_1.5,0.0,7.0
r0,1,0116-2,5,-0.5,gap,1_07,5.5,2.25,1_1.5,1_07_1_1.5,0.0,7.0
r0,1,0116-2,7,1.5,gap,1_05,3.5,0.25,1_1.5,1_05_1_1.5,0.0,7.0
r0,1,0116-2,9,3.5,gap,1_03,1.5,-1.75,1_1.5,1_03_1_1.5,0.0,7.0
p0,2,0116-2,1,-4.5,gap,2_01,0.5,-2.75,2_1.5,2_01_2_1.5,1.0,6.0
p0,2,0118-1,1,-4.5,gap,2_01,0.5,-2.75,2_1.5,2_01_2_1.5,1.0,6.0
r0,1,0118-1,1,-4.5,gap,1_11,9.5,6.25,1_1.5,1_11_1_1.5,0.0,7.0
r0,1,0118-1,3,-2.5,gap,1_09,7.5,4.25,1_1.5,1_09_1_1.5,0.0,7.0
r0,1,0118-1,5,-0.5,gap,1_07,5.5,2.25,1_1.5,1_07_1_1.5,0.0,7.0
r0,1,0118-1,7,1.5,gap,1_05,3.5,0.25,1_1.5,1_05_1_1.5,0.0,7.0
r0,1,0118-1,9,3.5,gap,1_03,1.5,-1.75,1_1.5,1_03_1_1.5,1.0,7.0
r0,2,0118-2,1,-4.5,gap,2_11,9.5,6.25,2_1.5,2_11_2_1.5,0.0,6.0
r0,2,0118-2,3,-2.5,gap,2_09,7.5,4.25,2_1.5,2_09_2_1.5,0.0,6.0
r0,2,0118-2,5,-0.5,gap,2_07,5.5,2.25,2_1.5,2_07_2_1.5,0.0,6.0
r0,2,0118-2,7,1.5,gap,2_05,3.5,0.25,2_1.5,2_05_2_1.5,0.0,6.0
r0,2,0118-2,9,3.5,gap,2_03,1.5,-1.75,2_1.5,2_03_2_1.5,0.0,6.0
p0,1,0118-2,1,-4.5,gap,1_01,0.5,-2.75,1_1.5,1_01_1_1.5,5.0,7.0
r0,2,0118-3,2,-3.5,gap,2_10,8.5,5.25,2_1.5,2_10_2_1.5,0.0,6.0
r0,2,0118-3,4,-1.5,gap,2_08,6.5,3.25,2_1.5,2_08_2_1.5,0.0,6.0
r0,2,0118-3,6,0.5,gap,2_06,4.5,1.25,2_1.5,2_06_2_1.5,0.0,6.0
r0,2,0118-3,8,2.5,gap,2_04,2.5,-0.75,2_1.5,2_04_2_1.5,0.0,6.0
r0,2,0118-3,10,4.5,gap,2_02,0.5,-2.75,2_1.5,2_02_2_1.5,0.0,6.0
r0,1,0120-1,2,-3.5,gap,1_10,8.5,5.25,1_1.5,1_10_1_1.5,0.0,7.0
r0,1,0120-1,4,-1.5,gap,1_08,6.5,3.25,1_1.5,1_08_1_1.5,0.0,7.0
r0,1,0120-1,6,0.5,gap,1_06,4.5,1.25,1_1.5,1_06_1_1.5,0.0,7.0
r0,1,0120-1,8,2.5,gap,1_04,2.5,-0.75,1_1.5,1_04_1_1.5,0.0,7.0
r0,1,0120-1,10,4.5,gap,1_02,0.5,-2.75,1_1.5,1_02_1_1.5,1.0,7.0
r0,1,0121-1,2,-3.5,gap,1_10,8.5,5.25,1_1.5,1_10_1_1.5,0.0,7.0
r0,1,0121-1,4,-1.5,gap,1_08,6.5,3.25,1_1.5,1_08_1_1.5,0.0,7.0
r0,1,0121-1,6,0.5,gap,1_06,4.5,1.25,1_1.5,1_06_1_1.5,0.0,7.0
r0,1,0121-1,8,2.5,gap,1_04,2.5,-0.75,1_1.5,1_04_1_1.5,0.0,7.0
r0,1,0121-1,10,4.5,gap,1_02,0.5,-2.75,1_1.5,1_02_1_1.5,0.0,7.0
r0,2,0123-1,2,-3.5,gap,2_10,8.5,5.25,2_1.5,2_10_2_1.5,0.0,6.0
r0,2,0123-1,4,-1.5,gap,2_08,6.5,3.25,2_1.5,2_08_2_1.5,0.0,6.0
r0,2,0123-1,6,0.5,gap,2_06,4.5,1.25,2_1.5,2_06_2_1.5,0.0,6.0
r0,2,0123-1,8,2.5,gap,2_04,2.5,-0.75,2_1.5,2_04_2_1.5,0.0,6.0
r0,2,0123-1,10,4.5,gap,2_02,0.5,-2.75,2_1.5,2_02_2_1.5,1.0,6.0
p0,1,0129-1,1,-4.5,gap,1_01,0.5,-2.75,1_1.5,1_01_1_1.5,1.0,7.0
r0,2,0129-1,2,-3.5,gap,2_10,8.5,5.25,2_1.5,2_10_2_1.5,0.0,6.0
r0,2,0129-1,4,-1.5,gap,2_08,6.5,3.25,2_1.5,2_08_2_1.5,0.0,6.0
r0,2,0129-1,6,0.5,gap,2_06,4.5,1.25,2_1.5,2_06_2_1.5,0.0,6.0
r0,2,0129-1,8,2.5,gap,2_04,2.5,-0.75,2_1.5,2_04_2_1.5,0.0,6.0
r0,2,0129-1,10,4.5,gap,2_02,0.5,-2.75,2_1.5,2_02_2_1.5,1.0,6.0
r0,2,0131-1,1,-4.5,gap,2_11,9.5,6.25,2_1.5,2_11_2_1.5,0.0,6.0
r0,2,0131-1,3,-2.5,gap,2_09,7.5,4.25,2_1.5,2_09_2_1.5,0.0,6.0
r0,2,0131-1,5,-0.5,gap,2_07,5.5,2.25,2_1.5,2_07_2_1.5,0.0,6.0
r0,2,0131-1,7,1.5,gap,2_05,3.5,0.25,2_1.5,2_05_2_1.5,0.0,6.0
r0,2,0131-1,9,3.5,gap,2_03,1.5,-1.75,2_1.5,2_03_2_1.5,0.0,6.0
r0,1,0131-2,2,-3.5,gap,1_10,8.5,5.25,1_1.5,1_10_1_1.5,0.0,7.0
r0,1,0131-2,4,-1.5,gap,1_08,6.5,3.25,1_1.5,1_08_1_1.5,0.0,7.0
r0,1,0131-2,6,0.5,gap,1_06,4.5,1.25,1_1.5,1_06_1_1.5,0.0,7.0
r0,1,0131-2,8,2.5,gap,1_04,2.5,-0.75,1_1.5,1_04_1_1.5,0.0,7.0
r0,1,0131-2,10,4.5,gap,1_02,0.5,-2.75,1_1.5,1_02_1_1.5,1.0,7.0
p0,2,0131-2,1,-4.5,gap,2_01,0.5,-2.75,2_1.5,2_01_2_1.5,1.0,6.0
r0,1,0131-3,1,-4.5,gap,1_11,9.5,6.25,1_1.5,1_11_1_1.5,0.0,7.0
r0,1,0131-3,3,-2.5,gap,1_09,7.5,4.25,1_1.5,1_09_1_1.5,0.0,7.0
r0,1,0131-3,5,-0.5,gap,1_07,5.5,2.25,1_1.5,1_07_1_1.5,0.0,7.0
r0,1,0131-3,7,1.5,gap,1_05,3.5,0.25,1_1.5,1_05_1_1.5,0.0,7.0
r0,1,0131-3,9,3.5,gap,1_03,1.5,-1.75,1_1.5,1_03_1_1.5,0.0,7.0
r0,1,0204-1,1,-4.5,gap,1_11,9.5,6.25,1_1.5,1_11_1_1.5,0.0,7.0
r0,1,0204-1,3,-2.5,gap,1_09,7.5,4.25,1_1.5,1_09_1_1.5,0.0,7.0
r0,1,0204-1,5,-0.5,gap,1_07,5.5,2.25,1_1.5,1_07_1_1.5,0.0,7.0
r0,1,0204-1,7,1.5,gap,1_05,3.5,0.25,1_1.5,1_05_1_1.5,0.0,7.0
r0,1,0204-1,9,3.5,gap,1_03,1.5,-1.75,1_1.5,1_03_1_1.5,0.0,7.0
r0,2,0203-2,1,-4.5,gap,2_11,9.5,6.25,2_1.5,2_11_2_1.5,0.0,6.0
r0,2,0203-2,3,-2.5,gap,2_09,7.5,4.25,2_1.5,2_09_2_1.5,0.0,6.0
r0,2,0203-2,5,-0.5,gap,2_07,5.5,2.25,2_1.5,2_07_2_1.5,0.0,6.0
r0,2,0203-2,7,1.5,gap,2_05,3.5,0.25,2_1.5,2_05_2_1.5,0.0,6.0
