story,segment_num,segment,cond_direction,condition,base_seg_num,ref_sc_num,ref_sc_hit,ref_seg_num,ref_step_base,ref_seg_type,main_or_gap,refer_type,refer_type_base_only,referring_type,rr_type,refer_list,referring_list,refer_boost_step_left,refer_boost_step_right,refer_boost_step,refer_boost_type,refer_boost_type_tri,refer_type_merge,refer_type_d,refer_type_point,refer_type_point_merge,referring_type_point,sc_point,refer_point_c,refer_point_c_merge,referring_point_c,ref_step_base_abs,color
1,7,1_07,b,r,8,552,0.0,5.5,-2.5,ahead_gap,gap,none,none,none,none,[],[704 704],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#ffd6ae
1,8,1_08,b,r,9,552,0.0,5.5,-3.5,ahead_gap,gap,none,none,none,none,[852 881],[803],99.0,3.0,3.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#ffd6ae
1,9,1_09,b,r,10,552,0.0,5.5,-4.5,ahead_gap,gap,none,none,none,none,[],[904 904 904],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#ffd6ae
1,10,1_10,b,r,11,552,0.0,5.5,-5.5,ahead_gap,gap,none,none,none,none,[1003 1004 1054 1055 1056 1052 1031 1081],[],99.0,4.5,4.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,#ffd6ae
2,5,2_05,b,r,6,552,0.0,5.5,-0.5,gap,gap,none,none,none,none,[156 553 252 302 452 452 301],[],0.0,0.0,0.0,same_seg,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,#ffd6ae
2,6,2_06,b,r,7,552,0.0,5.5,-1.5,ahead_gap,gap,none,none,none,none,[252 302 652 656 452 452 654 653 301],[],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#ffd6ae
2,7,2_07,b,r,8,552,0.0,5.5,-2.5,ahead_gap,gap,none,none,none,none,[452 751 752 753 706 452 654 653 301 708],[703 703],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#ffd6ae
2,8,2_08,b,r,9,552,0.0,5.5,-3.5,ahead_gap,gap,none,none,none,none,[706 851 452 654 653 301 708 851],[703 801],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#ffd6ae
2,9,2_09,b,r,10,552,0.0,5.5,-4.5,ahead_gap,gap,none,none,none,none,[452 654 653 951 952 301 708 851 902],[703 801],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#ffd6ae
2,10,2_10,b,r,11,552,0.0,5.5,-5.5,ahead_gap,gap,none,none,none,none,[ 301  708  851  902 1001 1053 1052],[1031],2.5,1.5,1.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,#ffd6ae
1,5,1_05,b,r0,6,552,0.25,5.5,-0.5,gap,gap,direct,referred,none,referred,[552 504 505 506],[405],0.0,0.0,0.0,referred,referred,referred,referred,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,#ffd6ae
1,6,1_06,b,r0,7,552,0.0,5.5,-1.5,ahead_gap,gap,none,none,none,none,[504 505 506 632 651],[],0.5,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#ffd6ae
1,7,1_07,b,r0,8,552,0.0,5.5,-2.5,ahead_gap,gap,none,none,none,none,[],[704 704],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#ffd6ae
1,8,1_08,b,r0,9,552,0.0,5.5,-3.5,ahead_gap,gap,none,none,none,none,[852 881],[803],99.0,3.0,3.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#ffd6ae
1,9,1_09,b,r0,10,552,0.0,5.5,-4.5,ahead_gap,gap,none,none,none,none,[],[904 904 904],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#ffd6ae
1,10,1_10,b,r0,11,552,0.0,5.5,-5.5,ahead_gap,gap,none,none,none,none,[1003 1004 1054 1055 1056 1052 1031 1081],[],99.0,4.5,4.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,#ffd6ae
2,5,2_05,b,r0,6,552,0.0,5.5,-0.5,gap,gap,none,none,none,none,[156 553 252 302 452 452 301],[],0.0,0.0,0.0,same_seg,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,#ffd6ae
2,6,2_06,b,r0,7,552,0.0,5.5,-1.5,ahead_gap,gap,none,none,none,none,[252 302 652 656 452 452 654 653 301],[],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#ffd6ae
2,7,2_07,b,r0,8,552,0.0,5.5,-2.5,ahead_gap,gap,none,none,none,none,[452 751 752 753 706 452 654 653 301 708],[703 703],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#ffd6ae
